fund_id,nav,aum_in_cr,expense_ratio,1yr_return,3yr_return,5yr_return
15087,298.25,46521.99,1.09,33.14,24.42,9.35
15088,355.77,39096.99,2.38,16.15,25.1,13.01
15089,258.66,28204.16,2.27,19.79,9.81,15.96
15090,167.33,24108.7,2.02,31.21,25.07,16.44
15091,406.68,3861.56,1.68,26.38,-0.71,22.39
15092,333.51,39416.07,2.49,10.57,16.51,8.28
15093,398.89,21489.35,0.91,38.95,10.98,16.04
15094,191.09,40618.05,2.08,-8.24,16.6,3.85
15095,359.48,49750.07,1.26,33.98,13.7,21.72
15096,156.49,33872.41,1.97,9.0,15.34,17.16
15097,451.01,12658.53,0.94,1.68,26.0,8.2
15098,401.45,33569.06,1.46,39.13,28.79,23.96
15099,422.47,9637.39,2.13,35.71,18.49,18.39
15100,369.73,7302.38,1.84,25.0,22.97,15.86
15101,163.13,46071.01,0.86,36.86,13.09,6.51
15102,57.86,46697.21,1.81,-3.86,21.22,1.75
15103,156.98,46933.28,0.89,13.53,24.8,15.67
15104,324.23,2781.34,1.42,33.12,-2.91,15.0
15105,280.44,38934.78,1.5,7.15,25.73,15.18
15106,275.7,16773.52,1.92,19.66,9.26,18.48
15107,331.19,14897.01,1.64,28.32,10.9,16.09
15108,94.06,28720.37,2.14,16.22,4.87,3.13
15109,347.73,1601.65,1.94,-6.93,23.97,14.23
15110,270.95,45857.62,1.62,25.55,18.48,2.93
15111,47.64,16486.29,1.16,13.19,-1.92,10.02
15112,95.28,47469.49,1.32,18.79,9.77,24.51
15113,125.59,33417.41,2.34,16.69,6.49,19.89
15114,425.36,37143.88,2.22,-8.24,21.12,8.55
15115,28.6,32806.38,1.0,29.28,27.66,11.11
15116,10.27,28041.83,2.78,26.75,22.76,13.46
15117,467.93,47458.66,1.37,38.28,1.02,12.59
15118,246.76,47154.16,1.46,10.33,26.07,3.23
15119,207.14,32866.74,2.67,13.79,16.08,17.15
15120,314.32,38811.37,1.28,32.23,12.55,11.24
15121,185.19,48256.73,1.38,15.59,1.35,19.09
15122,367.46,27488.22,1.9,-4.68,6.96,0.15
15123,221.11,3609.04,1.43,39.0,11.31,2.64
15124,338.18,5114.75,1.56,10.88,-3.52,9.81
15125,494.41,11859.06,2.19,30.44,5.55,6.23
15126,163.88,47112.7,1.06,7.57,13.41,8.49
15127,489.04,43102.32,1.73,-5.93,-1.29,22.98
15128,305.38,23637.37,1.87,-4.63,-2.32,19.55
15129,342.26,15547.66,1.47,9.2,3.09,21.4
15130,483.14,14729.47,2.28,33.59,-2.33,24.7
15131,200.71,45835.66,0.69,2.89,16.52,24.51
15132,60.06,29663.99,2.49,-3.08,-1.08,12.14
15133,132.68,31598.4,1.72,-8.91,7.54,10.73
15134,68.71,49608.75,1.3,-6.39,5.77,5.28
15135,362.29,29174.31,1.96,23.82,25.73,3.22
15136,394.53,49617.3,0.86,-0.96,13.54,19.52
15137,138.31,30101.17,2.37,20.71,-3.56,23.43
15138,109.44,36824.91,2.86,-8.28,15.08,21.58
15139,118.54,45229.69,2.23,25.66,28.0,12.88
15140,15.96,45341.85,1.21,3.71,-3.69,15.62
15141,79.03,40830.42,1.2,35.5,28.69,3.18
15142,298.46,38870.19,1.67,-4.5,20.9,17.59
15143,423.81,25258.32,0.61,-9.34,12.56,0.28
15144,308.86,48411.44,1.72,15.86,0.74,22.71
15145,152.11,47095.02,1.85,2.67,7.66,18.73
15146,141.36,44629.1,2.56,37.94,27.14,4.4
15147,333.31,47161.71,1.51,12.28,13.51,9.95
15148,329.14,20308.01,0.83,6.54,5.3,23.36
15149,391.08,37043.26,1.5,7.99,17.6,15.21
15150,384.02,24450.53,2.88,21.86,24.73,3.76
15151,358.61,726.42,1.58,-2.96,18.19,1.82
15152,276.16,35093.83,0.61,31.79,29.38,6.18
15153,89.29,8893.02,2.75,15.55,5.7,17.15
15154,274.01,34905.12,1.31,29.76,13.32,8.4
15155,319.05,2464.9,2.43,-8.14,-0.54,13.74
15156,257.29,38418.78,0.76,8.22,21.95,7.31
15157,281.17,4175.63,0.85,14.72,11.21,3.75
15158,296.19,30524.65,0.87,29.77,19.8,16.27
15159,181.17,36733.53,1.28,36.0,20.43,20.34
15160,124.76,42659.29,0.82,21.79,6.38,0.32
15161,375.13,38368.19,2.45,23.27,11.41,2.33
15162,383.7,7786.54,2.6,-5.72,18.14,4.76
15163,479.2,17585.97,2.94,-1.93,19.72,4.93
15164,466.1,6138.39,2.06,18.71,0.17,15.74
15165,276.14,28032.16,1.56,28.56,7.85,17.67
15166,180.26,21442.95,0.59,39.57,-0.1,12.21
15167,38.42,31112.2,2.14,34.58,2.36,15.47
15168,237.02,25920.62,1.15,18.3,17.77,20.75
15169,190.27,4903.72,1.14,7.03,9.37,6.92
15170,281.84,22866.08,2.8,8.41,12.96,9.6
15171,44.13,43460.05,1.12,27.85,2.01,17.94
15172,433.2,42039.73,2.18,36.27,1.24,19.22
15173,163.89,34817.45,1.24,4.42,23.01,3.49
15174,102.04,6374.6,2.9,21.72,21.17,24.97
15175,339.38,38786.69,0.87,27.93,22.67,12.82
15176,145.4,32705.24,1.85,-1.25,25.54,0.58
15177,129.13,22057.3,2.24,37.43,14.19,7.83
15178,497.46,20389.35,1.58,2.75,16.39,23.05
15179,221.91,28250.47,2.21,-2.34,10.6,13.3
15180,199.11,26989.37,1.83,8.03,-0.35,3.09
15181,208.01,1973.08,1.01,10.61,16.3,22.96
15182,78.24,38684.61,2.1,17.92,-1.75,24.89
15183,301.1,25961.22,1.58,31.83,-0.97,6.7
15184,245.22,3286.66,0.53,-5.03,26.56,10.76
15185,118.18,34446.8,1.3,23.01,7.23,13.39
15186,95.42,31525.92,2.87,-5.48,-3.59,21.32
15187,201.17,21616.66,1.61,20.42,1.27,22.44
15188,113.64,7109.46,0.53,19.06,9.83,8.4
15189,68.63,4505.97,0.68,-7.85,15.92,15.95
15190,369.23,18794.23,2.31,-3.13,11.2,7.43
15191,177.66,48225.84,0.99,10.93,24.08,3.0
15192,174.13,5440.29,1.37,32.47,26.06,5.16
15193,384.54,27120.47,2.16,18.0,6.02,6.9
15194,416.28,22858.68,1.3,20.66,14.74,2.53
15195,141.84,27148.46,2.72,39.74,-2.52,4.59
15196,331.6,3914.53,2.31,29.68,17.01,21.07
15197,143.37,1956.85,1.84,25.74,16.63,9.36
15198,113.37,646.5,1.93,3.87,12.0,10.69
15199,235.31,46336.31,1.1,39.35,8.24,16.25
15200,300.89,43509.86,1.79,14.95,0.72,14.03
15201,235.99,5617.12,2.62,11.7,14.17,17.66
15202,441.8,44458.22,2.73,22.75,4.8,15.22
15203,125.54,31328.54,2.27,13.25,8.52,2.84
15204,374.79,41857.63,1.34,10.33,16.28,23.9
15205,234.17,25480.24,0.77,-1.78,-2.03,5.61
15206,254.54,46046.52,2.65,4.75,17.57,12.67
15207,398.9,45870.75,1.47,26.17,-3.36,20.12
15208,339.65,15239.65,0.64,5.44,5.23,8.16
15209,434.37,35806.26,1.32,32.79,0.53,10.53
15210,14.27,31169.06,1.52,-0.91,20.0,11.26
15211,231.33,31366.69,2.31,31.15,28.8,18.79
15212,106.41,26111.67,2.27,0.43,15.64,4.44
15213,466.36,6195.78,0.67,11.34,21.93,3.88
15214,328.0,9675.74,1.47,12.47,7.02,2.53
15215,489.19,4574.48,2.42,11.36,23.83,22.83
15216,263.85,17786.38,1.65,14.53,10.85,10.65
15217,349.72,11594.81,0.64,-9.26,21.93,19.52
15218,433.13,46529.15,1.29,38.91,3.21,1.85
15219,135.3,49349.46,2.85,22.92,25.77,20.05
15220,303.93,28384.13,2.61,15.27,13.18,10.45
15221,271.54,39525.14,1.67,29.83,24.81,20.35
15222,65.28,11801.86,1.04,14.18,-2.29,2.76
15223,490.25,8896.72,1.9,-1.57,12.63,11.09
15224,227.89,49933.92,1.89,-2.03,25.27,13.0
15225,21.84,11509.38,1.69,4.36,4.08,16.52
15226,311.11,28901.22,1.39,-5.38,5.8,12.15
15227,178.21,10608.03,1.58,-6.5,14.99,11.57
15228,421.7,3772.3,1.93,31.23,23.91,2.8
15229,386.36,20813.69,0.83,-9.13,15.23,6.47
15230,416.01,2757.98,1.26,24.46,-0.01,4.84
15231,204.24,27490.72,2.85,-9.06,6.51,6.53
15232,206.62,7060.67,0.82,-6.41,28.13,18.61
15233,452.91,47160.32,1.31,36.75,15.17,18.39
15234,469.68,42585.52,1.07,29.47,21.25,22.04
15235,430.18,48667.45,2.46,26.94,15.76,14.62
15236,489.87,42515.91,1.27,-9.88,16.78,4.76
15237,350.97,35389.72,1.87,10.58,9.75,3.63
15238,41.38,8246.37,2.86,39.95,-4.08,8.64
15239,389.36,36193.55,2.86,35.03,6.03,5.22
15240,54.35,41890.18,1.47,-0.26,13.52,9.09
15241,263.99,38152.41,2.32,29.31,4.78,8.53
15242,494.84,11224.53,2.68,25.28,-3.14,23.67
15243,428.98,34717.1,1.86,29.79,1.86,1.44
15244,278.2,38590.87,1.05,4.76,17.15,5.75
15245,312.42,47351.76,0.79,3.65,12.15,4.79
15246,178.15,3848.21,0.78,4.74,16.04,9.86
15247,72.68,9099.06,1.73,4.2,0.32,7.9
15248,82.7,31929.62,2.75,-8.16,-3.43,20.89
15249,228.0,37161.7,1.18,38.68,10.13,4.44
15250,434.95,28180.37,0.79,26.93,9.32,22.17
15251,384.65,22087.45,1.52,36.2,11.85,5.84
15252,178.22,672.36,1.72,16.79,0.74,13.62
15253,132.33,21529.41,1.1,-0.84,14.66,2.14
15254,455.79,19749.97,2.75,-7.67,-2.44,3.31
15255,413.63,23247.32,1.22,23.89,21.17,15.81
15256,436.9,2016.98,2.19,-9.36,26.81,6.02
15257,163.09,4585.48,1.44,32.31,-3.68,17.17
15258,320.67,18104.35,2.97,16.83,13.06,24.99
15259,362.99,39202.74,1.8,23.86,18.91,13.6
15260,471.87,46540.85,1.54,10.46,28.86,10.32
15261,464.83,34724.49,1.21,-8.58,8.8,0.01
15262,164.62,20658.1,2.62,23.97,4.82,12.49
15263,357.56,4244.44,0.78,2.33,8.4,21.77
15264,294.13,4742.94,1.64,5.96,11.65,11.57
15265,417.18,10505.81,1.94,11.52,-3.55,18.96
15266,291.83,49901.26,0.79,20.65,13.5,18.08
15267,343.7,18971.6,1.8,13.95,-1.6,21.72
15268,236.82,8132.19,1.68,35.7,9.71,5.22
15269,186.47,25285.15,0.8,26.41,9.63,14.24
15270,16.71,38980.68,1.89,5.27,2.22,20.81
15271,468.36,3782.64,2.46,17.46,2.57,15.83
15272,389.12,14123.06,1.75,13.71,0.69,13.56
15273,214.82,36406.38,1.94,31.3,7.48,4.72
15274,318.3,42143.69,2.37,-1.09,23.83,19.92
15275,86.74,10869.63,0.5,26.98,-2.3,22.64
15276,439.68,15296.34,2.99,30.44,21.61,1.41
15277,166.39,37008.14,2.33,16.34,2.28,8.53
15278,236.14,44875.4,1.39,-4.17,11.18,4.24
15279,145.08,14582.14,2.56,11.34,10.57,11.77
15280,265.66,2282.88,1.31,28.0,24.34,3.66
15281,246.42,38807.12,2.71,38.49,16.29,8.64
15282,148.2,35290.32,2.13,6.61,19.15,17.23
15283,133.46,48982.7,1.59,10.45,11.12,12.98
15284,23.57,15934.6,2.47,4.39,12.04,12.7
15285,31.87,23122.61,2.07,2.38,26.58,7.37
15286,257.66,45524.98,2.11,5.43,9.99,11.13
15287,126.3,296.41,2.33,4.3,17.12,14.92
15288,388.13,42621.1,2.32,38.05,8.34,15.96
15289,67.83,1576.54,0.68,5.71,26.37,8.99
15290,404.24,39630.86,2.25,30.94,-2.23,20.02
15291,432.93,11811.88,2.21,4.54,22.68,10.46
15292,88.04,38202.83,1.87,9.79,20.37,7.74
15293,494.06,27638.88,2.11,19.42,12.26,4.13
15294,397.86,40525.78,2.11,36.42,16.89,0.29
15295,427.67,8507.06,1.39,4.52,11.1,15.67
15296,144.65,26208.42,1.06,9.92,22.77,6.87
15297,135.15,8872.12,2.69,33.0,16.98,20.31
15298,206.08,15276.83,2.27,33.54,17.55,23.63
15299,459.5,21735.58,1.04,18.26,9.35,13.84
15300,122.66,13165.84,1.24,-1.0,27.77,22.19
15301,410.16,15673.75,1.41,-4.77,6.95,19.87
15302,451.05,45354.37,1.87,27.79,18.43,4.66
15303,432.12,35900.23,0.8,28.37,3.3,1.8
15304,425.2,40469.22,0.68,-3.69,12.54,4.98
15305,421.32,39107.96,2.47,2.7,12.68,2.13
15306,287.3,31750.1,2.2,15.49,13.07,19.56
15307,208.59,27545.01,2.96,12.2,-1.14,0.08
15308,204.69,22735.45,2.56,7.3,3.89,16.66
15309,386.05,8007.22,2.9,9.87,9.03,6.45
15310,12.41,14659.86,2.91,25.81,27.2,23.29
15311,468.47,41815.05,1.47,-2.62,16.08,17.74
15312,113.18,8847.52,2.34,28.52,19.53,7.89
15313,375.39,32870.61,1.17,9.89,16.21,18.78
15314,187.28,34324.31,2.46,26.33,-3.21,24.63
15315,105.68,45710.66,1.19,-3.8,12.34,5.56
15316,72.18,18104.62,1.76,1.37,14.67,21.51
15317,208.42,36336.92,1.58,20.51,25.31,17.17
15318,158.95,29828.96,0.73,35.35,27.23,11.3
15319,36.51,31655.56,2.81,38.63,11.52,24.9
15320,265.06,21363.98,1.1,3.13,28.31,3.74
15321,442.63,35194.63,2.9,29.75,0.45,7.22
15322,132.92,49772.91,1.55,5.79,6.55,0.12
15323,367.86,27152.1,1.24,39.54,7.23,4.44
15324,99.36,32519.13,1.08,29.99,25.1,21.72
15325,60.2,19558.44,0.73,33.21,29.15,9.03
15326,288.81,17652.83,1.39,9.18,17.02,21.12
15327,117.12,6042.32,2.14,30.28,9.85,0.44
15328,184.89,17020.82,2.26,19.04,18.03,17.18
15329,117.43,19155.75,1.1,-5.58,-1.82,5.7
15330,407.13,44158.17,0.78,24.77,22.29,3.16
15331,200.74,7845.17,1.17,6.44,7.24,17.95
15332,203.04,43231.58,2.3,21.9,3.97,16.55
15333,345.43,2476.31,0.55,36.79,19.56,5.02
15334,198.03,1477.15,1.62,29.45,17.09,15.21
15335,63.22,23692.07,2.6,15.86,22.76,19.06
15336,286.77,1192.24,2.69,23.86,16.35,4.31
15337,93.08,30005.88,1.73,-4.77,11.55,20.24
15338,374.59,1101.96,2.65,-2.15,9.29,10.23
15339,75.97,21666.17,1.71,35.28,3.22,15.44
15340,407.52,28599.14,2.84,17.14,8.69,6.73
15341,149.23,43647.09,1.49,16.91,27.99,15.06
15342,162.81,479.97,2.61,39.81,-4.78,1.12
15343,378.4,17673.79,0.62,16.04,9.43,6.91
15344,137.93,36924.7,1.96,5.43,10.09,6.88
15345,451.25,37089.85,1.18,3.85,14.96,11.69
15346,40.56,40430.26,1.37,21.78,27.98,21.24
15347,410.03,37101.59,0.59,29.05,17.33,10.24
15348,270.93,7709.95,2.32,8.11,5.94,1.08
15349,13.2,15023.63,1.85,22.2,7.69,20.95
15350,219.86,43326.83,2.75,13.95,24.11,21.35
15351,237.97,18217.67,1.8,12.52,14.45,6.53
15352,256.27,25249.43,1.92,-0.32,14.29,13.44
15353,177.51,18464.92,1.82,37.4,-3.77,21.98
15354,308.27,40964.09,2.47,20.48,14.38,6.25
15355,463.98,4320.91,1.02,3.74,10.97,20.58
15356,225.02,34868.78,1.4,3.59,0.89,7.68
15357,84.23,22968.86,2.79,17.77,-1.67,5.32
15358,222.72,46551.85,0.55,21.71,8.37,8.9
15359,45.38,19587.43,1.85,7.89,18.74,22.64
15360,418.81,27979.0,2.1,38.03,10.44,8.52
15361,465.28,240.99,1.08,38.13,24.1,24.88
15362,34.42,15426.89,2.21,13.51,6.93,21.02
15363,457.9,1194.45,2.33,34.92,11.48,20.94
15364,492.67,4880.61,0.65,-5.1,12.13,23.45
15365,275.51,19147.05,2.73,2.56,13.42,16.05
15366,287.26,45660.23,0.57,-4.28,-4.35,17.57
15367,235.32,38709.4,1.75,11.5,9.21,20.83
15368,485.43,3115.57,2.68,-4.47,24.83,14.54
15369,402.9,20774.79,1.01,8.62,11.0,17.49
15370,419.99,39186.78,1.15,-7.32,1.7,20.07
15371,121.78,754.02,1.32,38.51,16.07,21.61
15372,254.98,23488.34,0.93,35.2,28.54,22.15
15373,259.71,15397.04,1.27,15.85,1.97,14.17
15374,444.07,10547.78,2.95,21.25,11.44,7.0
15375,216.85,32578.42,2.39,25.74,7.31,0.34
15376,215.45,32270.49,0.68,25.15,-4.17,16.02
15377,212.48,36036.47,1.73,5.85,22.21,18.46
15378,207.84,38711.77,1.9,31.58,15.49,19.94
15379,51.03,6222.22,1.42,28.09,22.93,19.73
15380,376.33,6391.45,0.97,21.37,12.76,7.12
15381,437.79,33914.18,2.93,-5.25,20.72,10.7
15382,12.49,14328.41,0.55,12.64,12.71,8.06
15383,14.22,45874.96,2.5,32.36,6.67,21.4
15384,403.8,15387.26,2.6,7.56,21.46,15.57
15385,251.01,28028.59,1.71,8.69,-3.76,14.8
15386,150.9,43452.43,2.86,0.13,-3.74,3.82
15387,365.48,8114.11,0.98,28.76,27.83,21.5
15388,391.54,17982.34,2.21,7.68,5.42,11.14
15389,418.52,37927.57,1.73,2.69,20.72,8.85
15390,83.24,42664.36,2.9,17.36,13.59,9.07
15391,398.32,30931.13,2.59,16.17,12.94,22.72
15392,408.81,8003.79,0.74,-0.54,-0.4,4.14
15393,151.08,20093.84,2.64,26.93,10.35,15.81
15394,115.0,5734.08,1.95,0.94,9.91,18.91
15395,359.08,23473.04,2.51,15.86,6.18,5.61
15396,65.34,16794.36,0.97,14.49,15.28,11.27
15397,211.36,21246.92,2.31,32.5,28.86,21.09
15398,442.77,6368.98,1.73,16.69,19.74,9.84
15399,318.96,36733.1,1.95,23.05,22.05,17.9
15400,319.14,24239.59,1.83,16.86,27.96,5.06
15401,80.48,3356.21,1.28,-1.0,6.72,1.36
15402,26.12,33418.22,1.95,22.17,5.66,21.92
15403,97.1,4882.31,2.71,17.66,16.95,22.06
15404,78.53,48113.79,0.86,24.13,5.69,22.36
15405,29.39,30862.8,2.22,11.98,10.04,2.78
15406,436.79,31134.75,1.88,27.14,8.4,10.67
15407,302.61,8132.92,0.69,-6.55,23.0,23.36
15408,361.18,1471.29,2.74,33.4,18.53,9.27
15409,314.52,28167.89,0.81,13.66,21.56,21.82
15410,476.4,278.92,1.68,34.52,4.39,2.37
15411,94.25,47372.73,2.16,4.7,1.29,0.59
15412,238.71,30112.24,2.23,-8.05,16.85,23.79
15413,108.82,34397.86,1.22,0.5,27.6,10.53
15414,462.57,31395.37,2.27,15.77,19.95,17.0
15415,165.57,12368.03,0.75,10.41,19.41,8.47
15416,237.17,2287.53,1.56,4.82,1.61,16.54
15417,179.06,29564.5,0.69,17.24,13.2,20.24
15418,354.88,17385.05,2.92,19.48,20.71,19.8
15419,355.81,12596.47,2.9,30.53,4.99,23.32
15420,321.54,9073.2,1.39,12.42,26.96,4.55
15421,54.07,5362.68,2.4,7.2,17.93,9.92
15422,123.85,20063.16,1.49,-8.18,27.17,15.26
15423,189.74,44055.7,2.74,36.06,19.7,24.67
15424,62.77,33702.89,0.92,-8.88,17.72,16.33
15425,205.49,19273.52,1.94,24.67,25.33,15.02
15426,176.37,28146.91,2.42,-6.26,15.4,17.37
15427,419.04,36499.59,2.82,4.45,5.15,2.33
15428,71.95,35739.93,0.65,30.27,1.37,3.46
15429,392.81,26807.18,1.65,31.54,-4.35,9.09
15430,252.73,3225.85,1.86,14.18,0.15,7.34
15431,272.62,25655.9,2.44,22.62,25.58,24.4
15432,497.22,17275.64,2.7,23.55,12.16,23.45
15433,284.27,7819.61,2.28,6.46,11.38,6.96
15434,269.2,39340.77,2.68,36.19,10.67,6.36
15435,407.39,48472.62,1.9,29.73,-4.36,13.7
15436,46.11,40892.45,0.66,-4.86,1.69,24.13
15437,74.54,28794.54,2.92,15.1,25.16,16.73
15438,241.47,9854.38,2.3,-2.76,17.12,15.4
15439,426.55,20377.87,0.74,-5.22,6.18,5.4
15440,241.19,2470.93,0.93,9.11,-4.62,16.44
15441,250.03,5181.6,1.29,38.5,1.66,10.17
15442,73.97,30658.96,1.99,12.3,2.72,9.86
15443,404.76,46778.91,2.89,34.54,20.98,21.64
15444,64.08,476.04,2.1,3.45,20.06,11.93
15445,135.71,19112.68,0.58,32.14,1.84,16.27
15446,355.74,10390.47,1.24,18.2,-1.19,8.1
15447,441.42,32096.8,1.55,3.19,13.22,9.25
15448,222.47,30998.12,1.37,29.39,-2.58,8.93
15449,375.15,23205.24,1.18,26.37,13.61,8.29
15450,22.18,47317.29,1.47,9.17,28.74,4.55
15451,491.73,43323.17,1.46,33.48,11.33,20.75
15452,176.69,33664.99,2.07,2.22,-0.32,3.01
15453,170.1,41355.24,1.22,3.75,-4.35,3.18
15454,59.92,3956.92,0.64,-2.96,4.97,7.59
15455,72.57,15395.34,1.56,31.53,19.06,19.52
15456,479.51,5812.24,0.57,-3.9,13.65,23.46
15457,291.79,44531.18,2.67,26.95,4.37,1.31
15458,279.81,36208.61,1.11,-3.71,8.69,6.3
15459,224.96,18004.29,0.89,24.11,20.08,11.44
15460,325.74,9800.49,2.66,38.87,6.55,16.28
15461,398.83,15293.55,1.5,28.9,3.18,3.6
15462,214.52,21186.85,1.9,3.8,17.12,14.7
15463,164.61,45609.87,0.69,12.84,18.24,7.07
15464,40.96,7273.93,2.37,23.74,3.96,6.67
15465,157.3,4086.55,2.08,22.5,21.51,18.38
15466,194.15,16431.17,2.89,28.23,27.41,14.45
15467,96.8,30539.78,2.35,31.02,8.98,13.21
15468,78.98,6884.59,2.96,18.79,11.8,1.99
15469,250.52,33539.83,0.51,37.74,18.95,20.2
15470,280.15,25335.7,1.85,-9.5,1.24,0.63
15471,258.06,19797.83,2.39,3.54,2.22,2.24
15472,29.83,34385.12,2.52,35.4,2.94,24.51
15473,346.04,24398.62,1.32,11.46,3.29,0.13
15474,96.0,9768.32,2.31,7.66,11.8,23.58
15475,109.64,49838.23,1.59,7.51,-4.71,19.3
15476,429.26,36582.26,2.55,28.92,17.7,6.43
15477,182.42,35031.12,1.37,16.75,26.72,1.29
15478,329.75,47708.18,0.57,14.37,15.78,0.17
15479,193.37,44288.84,1.6,-5.05,5.31,16.96
15480,433.0,12916.87,2.68,13.57,5.8,19.61
15481,132.29,40648.39,2.75,2.01,-2.99,7.78
15482,392.47,36621.92,2.15,13.92,7.21,23.03
15483,252.7,33372.18,2.66,10.14,8.82,21.51
15484,166.52,14247.17,2.1,12.26,-3.19,2.91
15485,460.72,44549.35,1.58,15.18,14.51,7.14
15486,356.69,22382.04,2.48,26.19,25.57,15.18
15487,132.04,37299.41,1.93,-8.97,3.14,2.79
15488,393.71,23905.47,2.5,26.56,-0.56,3.57
15489,205.81,36191.04,0.75,34.8,27.9,12.82
15490,102.44,42728.94,1.07,18.99,24.26,21.16
15491,150.3,29990.44,1.92,26.49,1.09,19.5
15492,326.89,13906.65,1.59,26.11,18.87,1.12
15493,33.34,38558.83,1.77,22.07,2.61,14.39
15494,258.43,42590.81,2.94,-0.23,13.7,13.08
15495,463.61,25984.28,0.96,28.3,11.79,20.74
15496,18.2,18468.99,1.43,20.63,4.69,12.6
15497,135.13,6767.76,1.55,30.09,23.72,11.46
15498,393.42,21442.36,1.91,3.31,7.13,7.98
15499,21.36,38818.21,1.57,-5.61,21.89,2.98
15500,321.39,15227.83,1.87,7.4,-3.2,22.06
15501,413.97,19870.75,0.95,30.12,9.23,2.22
15502,76.95,35979.09,2.61,-1.66,9.41,22.18
15503,273.32,22350.4,2.71,37.97,3.38,22.72
15504,248.35,23564.46,1.23,35.62,-0.07,6.06
15505,39.36,41975.85,0.72,17.57,8.15,19.5
15506,257.66,27598.55,0.56,-2.72,10.06,10.48
15507,432.09,39288.01,2.54,-2.83,10.89,2.95
15508,455.07,11210.74,1.56,19.27,9.51,0.48
15509,212.5,25430.35,1.37,12.39,27.68,22.06
15510,470.15,38466.83,2.55,7.43,9.27,10.04
15511,134.2,7114.6,0.69,6.55,27.82,7.52
15512,392.95,44385.1,2.57,19.14,12.5,17.68
15513,98.53,37744.16,2.74,-0.67,23.07,21.38
15514,440.1,6069.75,1.21,27.1,-2.03,23.93
15515,292.77,11873.09,2.03,29.12,12.91,17.56
15516,431.49,12779.22,2.46,-4.66,3.61,11.35
15517,89.24,10184.53,0.69,39.13,20.66,19.43
15518,68.45,41902.47,0.69,25.59,29.99,21.93
15519,454.56,18769.56,1.23,5.13,17.63,0.78
15520,99.84,37112.44,2.46,18.04,17.54,23.36
15521,399.33,1954.86,0.88,9.62,12.0,10.99
15522,241.5,33536.52,1.16,-1.33,20.33,1.29
15523,469.94,15401.49,1.58,2.77,4.13,8.92
15524,219.54,20346.76,0.53,4.73,14.98,5.13
15525,76.57,19189.51,1.78,-4.52,27.14,12.62
15526,212.53,31853.57,0.59,26.44,10.03,23.71
15527,382.12,49924.76,1.28,-0.82,8.34,11.96
15528,456.07,3390.67,0.78,29.16,17.34,12.59
15529,460.5,25914.47,1.97,31.28,13.09,9.46
15530,439.62,20353.8,0.5,16.16,14.82,16.82
15531,95.95,48892.15,1.42,-2.48,12.61,14.09
15532,43.82,47363.26,1.06,15.56,1.32,15.43
15533,189.59,45660.95,1.83,-8.74,-1.85,1.09
15534,139.37,35595.86,0.87,22.78,9.32,13.34
15535,162.72,46590.99,0.91,30.11,-3.15,8.47
15536,375.59,15409.81,1.49,-6.52,24.9,23.3
15537,262.22,36586.58,2.88,36.31,29.94,14.51
15538,129.93,22761.92,1.71,-6.55,14.09,22.24
15539,158.51,14083.77,1.37,-5.03,28.71,19.53
15540,411.22,46645.94,2.81,2.29,18.83,7.16
15541,382.41,29245.24,1.76,34.99,25.62,2.1
15542,174.49,31585.59,2.89,25.6,8.31,3.16
15543,424.73,45590.22,2.18,24.62,14.33,24.24
15544,135.42,6617.5,2.63,13.35,0.5,10.87
15545,470.82,34388.81,2.8,6.63,-2.16,13.15
15546,422.05,23007.72,2.37,26.15,11.63,3.77
15547,210.6,38551.8,2.21,10.12,19.15,11.3
15548,438.07,31283.4,0.91,-5.87,24.57,16.98
15549,265.57,8400.73,2.37,-3.58,-3.56,9.1
15550,311.73,41372.61,2.27,18.34,3.34,1.37
15551,277.1,48184.09,0.82,28.03,29.54,21.49
15552,188.02,6241.44,2.48,-2.87,18.54,8.7
15553,276.71,16336.47,1.19,28.36,20.75,3.78
15554,290.36,22625.61,0.94,-1.66,29.83,4.92
15555,273.26,34775.27,1.18,11.66,-1.97,4.5
15556,40.4,3585.36,1.03,0.82,1.17,11.39
15557,48.08,29660.53,1.36,-6.36,17.16,9.23
15558,436.6,26478.01,1.87,-1.59,24.06,4.02
15559,447.82,576.94,1.65,4.48,26.57,4.56
15560,240.29,9220.11,2.37,14.95,-3.51,8.97
15561,73.64,21907.85,0.54,8.56,24.31,13.35
15562,457.03,19292.99,2.15,28.76,19.65,5.52
15563,101.43,22782.56,2.4,0.48,7.83,15.73
15564,152.21,33552.96,0.82,15.81,6.88,23.07
15565,119.26,42025.14,2.66,-2.43,-0.3,7.01
15566,296.34,42846.09,1.87,4.44,14.85,12.8
15567,146.49,27065.34,0.58,10.35,7.82,10.84
15568,374.88,3588.75,1.57,20.83,22.44,24.12
15569,83.71,12680.27,1.41,33.57,18.05,17.62
15570,462.74,13340.84,1.83,-0.5,15.22,12.67
15571,467.05,6600.04,2.16,18.83,9.35,3.96
15572,199.52,27947.96,2.4,0.81,7.29,16.38
15573,357.61,8969.96,1.37,8.76,29.24,24.8
15574,474.88,43831.86,0.75,6.98,6.98,15.77
15575,326.68,31440.78,0.63,0.94,19.26,0.07
15576,155.79,16158.8,2.34,6.47,2.62,11.34
15577,210.52,33298.12,2.95,31.58,4.26,21.8
15578,312.25,42010.55,0.76,-0.14,1.97,12.12
15579,333.44,6416.09,1.49,18.1,25.28,20.88
